UNFCCC;Factor;REMIND;Unit_REMIND
Table1.A(b)|Fuel Types|Liquid fossil|Primary fuels|Natural gas liquids|CO2;;;
Table1.A(b)|Fuel Types|Liquid fossil|Secondary fuels|Bitumen|CO2;;;
Table1.A(b)|Fuel Types|Liquid fossil|Secondary fuels|Ethane|CO2;;;
Table1.A(b)|Fuel Types|Liquid fossil|Secondary fuels|Gas/diesel oil|CO2;;;
Table1.A(b)|Fuel Types|Liquid fossil|Secondary fuels|Gasoline|CO2;;;
Table1.A(b)|Fuel Types|Liquid fossil|Secondary fuels|Jet kerosene|CO2;;;
Table1.A(b)|Fuel Types|Liquid fossil|Secondary fuels|Liquefied petroleum gases (LPG)|CO2;;;
Table1.A(b)|Fuel Types|Liquid fossil|Secondary fuels|Lubricants|CO2;;;
Table1.A(b)|Fuel Types|Liquid fossil|Secondary fuels|Naphtha|CO2;;;
Table1.A(b)|Fuel Types|Liquid fossil|Secondary fuels|Other kerosene|CO2;;;
Table1.A(b)|Fuel Types|Liquid fossil|Secondary fuels|Other oil|CO2;;;
Table1.A(b)|Fuel Types|Liquid fossil|Secondary fuels|Petroleum coke|CO2;;;
Table1.A(b)|Fuel Types|Liquid fossil|Secondary fuels|Refinery feedstocks|CO2;;;
Table1.A(b)|Fuel Types|Liquid fossil|Secondary fuels|Residual fuel oil|CO2;;;
