UNFCCC;Factor;REMIND;Unit_REMIND
1.A.2.f. Non-metallic minerals|NMVOC;;;
1.A.2.f. Non-metallic minerals|NOX;;;
1.A.2.f. Non-metallic minerals|SO2;;;
1.A.2.g. Other|CH4;0.001;Emi|CH4|Energy|Demand|Industry|Other Industry;Mt CH4/yr
1.A.2.g. Other|CO;;;
1.A.2.g. Other|CO2;0.001;Emi|CO2|Energy|Demand|Industry|Other Industry;Mt CO2/yr
1.A.2.g. Other|N2O;1;Emi|N2O|Energy|Demand|Industry|Other Industry;kt N2O/yr
1.A.2.g. Other|NMVOC;;;
1.A.2.g. Other|NOX;;;
1.A.2.g. Other|SO2;;;
1.A.3. Transport|CH4;0.001;Emi|CH4|w/o Bunkers|Energy|Demand|Transport;Mt CH4/yr
1.A.3. Transport|CO;;;
1.A.3. Transport|CO2;0.001;Emi|CO2|w/o Bunkers|Energy|Demand|Transport;Mt CO2/yr
1.A.3. Transport|N2O;1;Emi|N2O|w/o Bunkers|Energy|Demand|Transport;kt N2O/yr
1.A.3. Transport|NMVOC;;;
1.A.3. Transport|NOX;;;
1.A.3. Transport|SO2;;;
1.A.3.a. Domestic aviation|CH4;;;
1.A.3.a. Domestic aviation|CO;;;
1.A.3.a. Domestic aviation|CO2;0.001;Emi|CO2|Transport|Pass|Aviation|Domestic|Demand;Mt CO2/yr
1.A.3.a. Domestic aviation|N2O;;;
1.A.3.a. Domestic aviation|NMVOC;;;
1.A.3.a. Domestic aviation|NOX;;;
1.A.3.a. Domestic aviation|SO2;;;
1.A.3.b. Road transportation|CH4;;;
1.A.3.b. Road transportation|CO;;;
1.A.3.b. Road transportation|CO2;0.001;Emi|CO2|Transport|Pass|Road|Demand;Mt CO2/yr
1.A.3.b. Road transportation|N2O;;;
1.A.3.b. Road transportation|NMVOC;;;
1.A.3.b. Road transportation|NOX;;;
1.A.3.b. Road transportation|SO2;;;
1.A.3.c. Railways|CH4;;;
1.A.3.c. Railways|CO;;;
1.A.3.c. Railways|CO2;0.001;Emi|CO2|Transport|Pass|Rail|Demand;Mt CO2/yr
1.A.3.c. Railways|N2O;;;
1.A.3.c. Railways|NMVOC;;;
1.A.3.c. Railways|NOX;;;
1.A.3.c. Railways|SO2;;;
1.A.3.d. Domestic navigation|CH4;;;
1.A.3.d. Domestic navigation|CO;;;
1.A.3.d. Domestic navigation|CO2;0.001;Emi|CO2|Transport|Freight|Navigation|Demand;Mt CO2/yr
1.A.3.d. Domestic navigation|N2O;;;
1.A.3.d. Domestic navigation|NMVOC;;;
1.A.3.d. Domestic navigation|NOX;;;
1.A.3.d. Domestic navigation|SO2;;;
1.A.3.e. Other transportation|CH4;;;
1.A.3.e. Other transportation|CO;;;
1.A.3.e. Other transportation|CO2;;;
1.A.3.e. Other transportation|N2O;;;
1.A.3.e. Other transportation|NMVOC;;;
1.A.3.e. Other transportation|NOX;;;
1.A.3.e. Other transportation|SO2;;;
1.A.4. Other sectors|CH4;;;
1.A.4. Other sectors|CO;;;
1.A.4. Other sectors|CO2;;;
1.A.4. Other sectors|N2O;;;
1.A.4. Other sectors|NMVOC;;;
1.A.4. Other sectors|NOX;;;
1.A.4. Other sectors|SO2;;;
1.A.4.a. Commercial/institutional|CH4;0.001;Emi|CH4|Energy|Demand|Buildings|Commercial;Mt CH4/yr
1.A.4.a. Commercial/institutional|CH4;0.001;Emi|CH4|Energy|Demand|Buildings;Mt CH4/yr
1.A.4.a. Commercial/institutional|CO;;;
1.A.4.a. Commercial/institutional|CO2;0.001;Emi|CO2|Energy|Demand|Buildings|Commercial;Mt CO2/yr
1.A.4.a. Commercial/institutional|CO2;0.001;Emi|CO2|Energy|Demand|Buildings;Mt CO2/yr
1.A.4.a. Commercial/institutional|N2O;1;Emi|N2O|Energy|Demand|Buildings|Commercial;kt N2O/yr
1.A.4.a. Commercial/institutional|N2O;1;Emi|N2O|Energy|Demand|Buildings;kt N2O/yr
1.A.4.a. Commercial/institutional|NMVOC;;;
1.A.4.a. Commercial/institutional|NOX;;;
1.A.4.a. Commercial/institutional|SO2;;;
1.A.4.b. Residential|CH4;0.001;Emi|CH4|Energy|Demand|Buildings|Residential;Mt CH4/yr
1.A.4.b. Residential|CH4;0.001;Emi|CH4|Energy|Demand|Buildings;Mt CH4/yr
1.A.4.b. Residential|CO;;;
1.A.4.b. Residential|CO2;0.001;Emi|CO2|Energy|Demand|Buildings|Residential;Mt CO2/yr
1.A.4.b. Residential|CO2;0.001;Emi|CO2|Energy|Demand|Buildings;Mt CO2/yr
1.A.4.b. Residential|N2O;1;Emi|N2O|Energy|Demand|Buildings|Residential;kt N2O/yr
1.A.4.b. Residential|N2O;1;Emi|N2O|Energy|Demand|Buildings;kt N2O/yr
1.A.4.b. Residential|NMVOC;;;
1.A.4.b. Residential|NOX;;;
1.A.4.b. Residential|SO2;;;
1.A.4.c. Agriculture/forestry/fishing|CH4;0.001;Emi|CH4|Energy|Demand|Industry|Other Industry|AFOFI;Mt CH4/yr
1.A.4.c. Agriculture/forestry/fishing|CO;;;
1.A.4.c. Agriculture/forestry/fishing|CO2;0.001;Emi|CO2|Energy|Demand|Industry|Other Industry|AFOFI;Mt CO2/yr
1.A.4.c. Agriculture/forestry/fishing|N2O;1;Emi|N2O|Energy|Demand|Industry|Other Industry|AFOFI;kt N2O/yr
1.A.4.c. Agriculture/forestry/fishing|NMVOC;;;
1.A.4.c. Agriculture/forestry/fishing|NOX;;;
1.A.4.c. Agriculture/forestry/fishing|SO2;;;
1.A.5. Other|CH4;;;
1.A.5. Other|CO;;;
1.A.5. Other|CO2;;;
1.A.5. Other|N2O;;;
1.A.5. Other|NMVOC;;;
1.A.5. Other|NOX;;;
1.A.5. Other|SO2;;;
1.A.5.a. Stationary|CH4;;;
1.A.5.a. Stationary|CO;;;
1.A.5.a. Stationary|CO2;;;
1.A.5.a. Stationary|N2O;;;
1.A.5.a. Stationary|NMVOC;;;
1.A.5.a. Stationary|NOX;;;
1.A.5.a. Stationary|SO2;;;
1.A.5.b. Mobile|CH4;;;
1.A.5.b. Mobile|CO;;;
1.A.5.b. Mobile|CO2;;;
1.A.5.b. Mobile|N2O;;;
1.A.5.b. Mobile|NMVOC;;;
1.A.5.b. Mobile|NOX;;;
1.A.5.b. Mobile|SO2;;;
1.B. Fugitive emissions from fuels|CH4;0.001;Emi|CH4|Extraction;Mt CH4/yr
1.B. Fugitive emissions from fuels|CO;;;
1.B. Fugitive emissions from fuels|CO2;0.001;Emi|CO2|Extraction;Mt CO2/yr
1.B. Fugitive emissions from fuels|N2O;1;Emi|N2O|Extraction;kt N2O/yr
1.B. Fugitive emissions from fuels|NMVOC;;;
1.B. Fugitive emissions from fuels|NOX;;;
1.B. Fugitive emissions from fuels|SO2;;;
1.B.1. Solid fuels|CH4;;;
1.B.1. Solid fuels|CO;;;
1.B.1. Solid fuels|CO2;;;
1.B.1. Solid fuels|N2O;;;
1.B.1. Solid fuels|NMVOC;;;
1.B.1. Solid fuels|NOX;;;
1.B.1. Solid fuels|SO2;;;
1.B.1.a. Coal mining and handling|CH4;;;
