"REMIND_variable";"JRC_complete";"JRC_Excel";"JRC_spreadsheet";"Weight";"Unit_REMIND";"Unit_JRC";"Factor"
"Emi|CO2|Transport|Pass|Electricity";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Passenger transport|Conventional passenger trains|Electric";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Electricity";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Passenger transport|High speed passenger trains";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Liquids";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Freight transport|Diesel oil";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Electricity";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Freight transport|Electric";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Passenger transport|Domestic";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Passenger transport|International - Intra-EU";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Passenger transport|International - Extra-EU";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Freight transport|Domestic and International - Intra-EU";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Freight transport|International - Extra-EU";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Liquids";"Transport|Navigation|CO2 Emissions|by fuel|Liquids";"JRC-IDEES-2015_Transport_";"TrNavi_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Liquids";"Maritime Bunkers|CO2 Emissions|Split of CO2 emissions|Intra-EU";"JRC-IDEES-2015_MBunkers_";"MBunk_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Liquids";"Maritime Bunkers|CO2 Emissions|Split of CO2 emissions|Extra-EU";"JRC-IDEES-2015_MBunkers_";"MBunk_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Powered 2-wheelers";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Passenger cars|Gasoline engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Passenger cars|Diesel oil engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Passenger cars|LPG engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers|Gases";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Passenger cars|Natural gas engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Passenger cars|Plug-in hybrid electric";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers|Electricity";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Passenger cars|Battery electric vehicles";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Motor coaches, buses and trolley buses|Gasoline engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Motor coaches, buses and trolley buses|Diesel oil engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers|Gases";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Motor coaches, buses and trolley buses|LPG engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers|Gases";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Motor coaches, buses and trolley buses|Natural gas engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers|Electricity";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Motor coaches, buses and trolley buses|Battery electric vehicles";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|w/o Bunkers|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Light duty vehicles|Gasoline engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|w/o Bunkers|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Light duty vehicles|Diesel oil engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|w/o Bunkers|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Light duty vehicles|LPG engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|w/o Bunkers|Gases";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Light duty vehicles|Natural gas engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|w/o Bunkers|Electricity";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Light duty vehicles|Battery electric vehicles";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|w/o Bunkers|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Heavy duty vehicles|Domestic";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|w/o Bunkers|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Heavy duty vehicles|International";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers|Electricity";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Passenger transport|Metro and tram, urban light rail";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers|Liquids";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Passenger transport|Conventional passenger trains|Diesel oil";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers|Electricity";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Passenger transport|Conventional passenger trains|Electric";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers|Electricity";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Passenger transport|High speed passenger trains";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|w/o Bunkers|Liquids";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Freight transport|Diesel oil";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|w/o Bunkers|Electricity";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Freight transport|Electric";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Passenger transport|Domestic";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Passenger transport|International - Intra-EU";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Bunkers|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Passenger transport|International - Extra-EU";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|w/o Bunkers|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Freight transport|Domestic and International - Intra-EU";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Bunkers|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Freight transport|International - Extra-EU";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Bunkers|Liquids";"Transport|Navigation|CO2 Emissions|by fuel|Liquids";"JRC-IDEES-2015_Transport_";"TrNavi_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Bunkers|Liquids";"Maritime Bunkers|CO2 Emissions|Split of CO2 emissions|Intra-EU";"JRC-IDEES-2015_MBunkers_";"MBunk_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Bunkers|Liquids";"Maritime Bunkers|CO2 Emissions|Split of CO2 emissions|Extra-EU";"JRC-IDEES-2015_MBunkers_";"MBunk_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Powered 2-wheelers";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Passenger cars|Gasoline engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Passenger cars|Diesel oil engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Passenger cars|LPG engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|Gases";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Passenger cars|Natural gas engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Passenger cars|Plug-in hybrid electric";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|Electricity";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Passenger cars|Battery electric vehicles";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Motor coaches, buses and trolley buses|Gasoline engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Motor coaches, buses and trolley buses|Diesel oil engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|Gases";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Motor coaches, buses and trolley buses|LPG engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|Gases";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Motor coaches, buses and trolley buses|Natural gas engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|Electricity";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Motor coaches, buses and trolley buses|Battery electric vehicles";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Road|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Light duty vehicles|Gasoline engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Road|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Light duty vehicles|Diesel oil engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Road|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Light duty vehicles|LPG engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Road|Gases";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Light duty vehicles|Natural gas engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Road|Electricity";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Light duty vehicles|Battery electric vehicles";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Road|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Heavy duty vehicles|Domestic";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Road|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Heavy duty vehicles|International";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Train|Electricity";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Passenger transport|Metro and tram, urban light rail";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Train|Liquids";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Passenger transport|Conventional passenger trains|Diesel oil";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Train|Electricity";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Passenger transport|Conventional passenger trains|Electric";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Train|Electricity";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Passenger transport|High speed passenger trains";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Train|Liquids";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Freight transport|Diesel oil";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Train|Electricity";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Freight transport|Electric";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Aviation|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Passenger transport|Domestic";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Aviation|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Passenger transport|International - Intra-EU";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Aviation|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Passenger transport|International - Extra-EU";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Aviation|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Freight transport|Domestic and International - Intra-EU";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Aviation|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Freight transport|International - Extra-EU";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Shipping|Liquids";"Transport|Navigation|CO2 Emissions|by fuel|Liquids";"JRC-IDEES-2015_Transport_";"TrNavi_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Shipping|Liquids";"Maritime Bunkers|CO2 Emissions|Split of CO2 emissions|Intra-EU";"JRC-IDEES-2015_MBunkers_";"MBunk_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Shipping|Liquids";"Maritime Bunkers|CO2 Emissions|Split of CO2 emissions|Extra-EU";"JRC-IDEES-2015_MBunkers_";"MBunk_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|LDV|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Powered 2-wheelers";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|LDV|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Passenger cars|Gasoline engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|LDV|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Passenger cars|Diesel oil engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|LDV|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Passenger cars|LPG engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|LDV|Gases";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Passenger cars|Natural gas engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|LDV|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Passenger cars|Plug-in hybrid electric";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|LDV|Electricity";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Passenger cars|Battery electric vehicles";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|non-LDV|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Motor coaches, buses and trolley buses|Gasoline engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|non-LDV|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Motor coaches, buses and trolley buses|Diesel oil engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|non-LDV|Gases";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Motor coaches, buses and trolley buses|LPG engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|non-LDV|Gases";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Motor coaches, buses and trolley buses|Natural gas engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Road|non-LDV|Electricity";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Passenger transport|Motor coaches, buses and trolley buses|Battery electric vehicles";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Road|LDV|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Light duty vehicles|Gasoline engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Road|LDV|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Light duty vehicles|Diesel oil engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Road|LDV|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Light duty vehicles|LPG engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Road|LDV|Gases";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Light duty vehicles|Natural gas engine";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Road|LDV|Electricity";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Light duty vehicles|Battery electric vehicles";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Road|non-LDV|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Heavy duty vehicles|Domestic";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Road|non-LDV|Liquids";"Transport|Road|CO2 Emissions|Split of CO2 emissions|Freight transport|Heavy duty vehicles|International";"JRC-IDEES-2015_Transport_";"TrRoad_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Train|Urban|Electricity";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Passenger transport|Metro and tram, urban light rail";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Train|Low Speed|Liquids";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Passenger transport|Conventional passenger trains|Diesel oil";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Train|Low Speed|Electricity";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Passenger transport|Conventional passenger trains|Electric";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Train|High Speed|Electricity";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Passenger transport|High speed passenger trains";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Train|Conventional|Liquids";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Freight transport|Diesel oil";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Train|Conventional|Electricity";"Transport|Rail|CO2 Emissions|Split of CO2 emissions|Freight transport|Electric";"JRC-IDEES-2015_Transport_";"TrRail_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Aviation|Domestic|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Passenger transport|Domestic";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Aviation|within EU|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Passenger transport|International - Intra-EU";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Aviation|extra EU|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Passenger transport|International - Extra-EU";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Aviation|within EU|Liquids";"Transport|Aviation|CO2 Emissions|Split of CO2 emissions|Freight transport|Domestic and International - Intra-EU";"JRC-IDEES-2015_Transport_";"TrAvia_emi";1;"Mt CO2/yr";"kt of CO2";0.001
