"EED";"unit";"REMIND";"Conversion"
"GHG emissions|Energy|Transport|Road Transportation|Other Transportation";"Mt CO2eq";;
"GHG emissions|Energy|Commercial/Institutional";"Mt CO2eq";"Emi|GHG|Energy|Demand|Buildings (Mt CO2eq/yr)";1
"GHG emissions|Energy|Residential";"Mt CO2eq";"Emi|GHG|Energy|Demand|Buildings (Mt CO2eq/yr)";1
"GHG emissions|Energy|Agriculture/Forestry/Fisheries";"Mt CO2eq";"Emi|GHG|Energy|Demand|Industry|Other Industry|AFOFI (Mt CO2eq/yr)";1
"GHG emissions|Energy|Other Sectors";"Mt CO2eq";"Emi|GHG|Energy|Other Sectors (Mt CO2eq/yr)";1
"GHG emissions|Energy|Other Combustion and Fugitive Emissions";"Mt CO2eq";"Emi|GHG|Energy|Other (Mt CO2eq/yr)";1
"GHG emissions|Industrial Processes and Product Use";"Mt CO2eq";"Emi|GHG|Industrial Processes (Mt CO2eq/yr)";1
"GHG emissions|Agriculture";"Mt CO2eq";"Emi|GHG|AFOLU (Mt CO2eq/yr)";1
"GHG emissions|Waste and Others";"Mt CO2eq";"Emi|GHG|Waste (Mt CO2eq/yr)";1
"GHG emissions|Indirect CO2";"Mt CO2eq";"Emi|GHG|Indirect CO2 (Mt CO2eq/yr)";1
"GHG emissions|International aviation";"Mt CO2eq";"Emi|GHG|Bunkers|International Aviation (Mt CO2eq/yr)";1
"GHG emissions|International aviation";"Mt CO2eq";"Emi|GHG (Mt CO2eq/yr)";-1
"GHG emissions|International navigation";"Mt CO2eq";"Emi|GHG|Bunkers|International Maritime Transport (Mt CO2eq/yr)";1
"Main Emissions Indicators|GHG national total emissions";"index 1990=100";;
"Main Emissions Indicators|Total GHG per capita";"t CO2 eq_/capita";;
"Main Emissions Indicators|GHG Intensity of Energy";"kg CO2 eq_/toe";;
"Main Emissions Indicators|Total GHG - GDP Intensity";"ton CO2 eq_/MEUR15";;
"Total Population";"thousands of people";"Population (million)";0.001
"GDP2015";"Mrd EUR at 2015 exchange rates";;
"GDP-market prices";"Mrd EUR at current prices";;
