"crf";"sector";"emi";"REMIND";"unit";"factor"
"CRF3";"Agriculture";"GHG";"Emi|GHG|Agriculture";"Mt CO2eq/yr";1
"CRF31";"Livestock";;;;
"CRF3A";"Enteric fermentation";;;;
"CRF3A1";"Enteric fermentation of cattle";;;;
"CRF3A2";"Enteric fermentation of sheep";;;;
"CRF3A3";"Enteric fermentation of swine";;;;
"CRF3A4";"Enteric fermentation of other livestock";;;;
"CRF3B";"Manure management";;;;
"CRF3B1";"Cattle manure management";;;;
"CRF3B2";"Sheep manure management";;;;
"CRF3B3";"Swine manure management";;;;
"CRF3B4";"Other livestock manure management";;;;
"CRF3B5";"Manure management - indirect N2O emissions";;;;
"CRF3C";"Rice cultivation";;;;
"CRF3C1";"Irrigated rice cultivation";;;;
"CRF3C2";"Rainfed rice cultivation";;;;
"CRF3C3";"Deep water rice cultivation";;;;
"CRF3C4";"Other rice cultivation";;;;
"CRF3D";"Managed agricultural soils";;;;
"CRF3D1";"Managed agricultural soils - direct N2O emissions";;;;
"CRF3D2";"Managed agricultural soils - indirect N2O emissions";;;;
"CRF3E";"Prescribed burning of savannas";;;;
"CRF3F";"Field burning of agricultural residues";;;;
"CRF3F1";"Field burning of cereals residues";;;;
"CRF3F2";"Field burning of pulses residues";;;;
"CRF3F3";"Field burning of tubers and roots residues";;;;
"CRF3F4";"Field burning of sugar cane residues";;;;
"CRF3F5";"Field burning of other agricultural residues";;;;
"CRF3G";"Liming";;;;
"CRF3H";"Urea application";;;;
"CRF3I";"Other carbon-containing fertilizers";;;;
"CRF3J";"Other agriculture";;;;
"CRF4";"Land use, land use change, and forestry (LULUCF)";"CH4_native";"Emi|CH4|Land-Use Change";"Mt CH4/yr";1
"CRF4";"Land use, land use change, and forestry (LULUCF)";"CO2";"Emi|CO2|Land-Use Change";"Mt CO2/yr";1
"CRF4";"Land use, land use change, and forestry (LULUCF)";"GHG";"Emi|GHG|Land-Use Change";"Mt CO2eq/yr";1
"CRF4";"Land use, land use change, and forestry (LULUCF)";"N2O_native";"Emi|N2O|Land-Use Change";"kt N2O/yr";1000
"CRF4A";"Forest land";;;;
"CRF4A0";"Drainage and rewetting and other management of organic and mineral soils related to forest land - emissions and removals";;;;
"CRF4A1";"Unconverted forest land";;;;
"CRF4A2";"Land converted to forest land";;;;
"CRF4B";"Cropland";;;;
"CRF4B0";"Drainage and rewetting and other management of organic and mineral soils related to cropland - emissions and removals";;;;
"CRF4B1";"Unconverted cropland";;;;
"CRF4B2";"Land converted to cropland";;;;
"CRF4C";"Grassland";;;;
"CRF4C0";"Drainage and rewetting and other management of organic and mineral soils related to grassland - emissions and removals";;;;
"CRF4C1";"Unconverted grassland";;;;
"CRF4C2";"Land converted to grassland";;;;
"CRF4D";"Wetlands";;;;
"CRF4D0";"Drainage and rewetting and other management of organic and mineral soils related to wetlands - emissions and removals";;;;
"CRF4D1";"Unconverted wetlands";;;;
"CRF4D2";"Land converted to wetlands";;;;
"CRF4E";"Settlements";;;;
"CRF4E0";"Biomass burning in settlements";;;;
"CRF4E1";"Unconverted settlements";;;;
"CRF4E2";"Land converted to settlements";;;;
"CRF4F";"Other land";;;;
"CRF4F2";"Land converted to other land";;;;
"CRF4F3";"Nitrogen mineralization and immobilization in other land - direct N2O emissions";;;;
"CRF4F4";"Biomass burning on other land";;;;
"CRF4G";"Harvested wood products";;;;
"CRF4H";"Other land use, land use change, and forestry";;;;
"CRF4Z";"Managed soils - indirect N2O emissions";;;;
"CRF5";"Waste management";"CO2";"Emi|CO2|Waste";"Mt CO2/yr";1
"CRF5";"Waste management";"GHG";"Emi|GHG|Waste";"Mt CO2eq/yr";1
"CRF5A";"Solid waste disposal";;;;
"CRF5A1";"Managed waste disposal sites";;;;
"CRF5A2";"Unmanaged waste disposal sites";;;;
"CRF5A3";"Uncategorized waste disposal sites";;;;
"CRF5B";"Biological treatment of solid waste";;;;
"CRF5B1";"Waste composting";;;;
"CRF5B2";"Anaerobic digestion at biogas facilities";;;;
"CRF5C";"Incineration and open burning of waste";;;;
"CRF5C1";"Waste incineration";;;;
"CRF5C2";"Open burning of waste";;;;
"CRF5D";"Wastewater treatment and discharge";;;;
"CRF5D1";"Domestic wastewater";;;;
"CRF5D2";"Industrial wastewater";;;;
"CRF5D3";"Other wastewater";;;;
"CRF5E";"Other disposal";;;;
"CRF5F1";"Long-term storage of carbon in waste disposal sites";;;;
"CRF5F2";"Annual change in total long-term carbon storage";;;;
"CRF5F3";"Annual change in total long-term carbon storage in harvested wood products HWP waste";;;;
"CRF6";"Other sectors";;;;
"CRF_INDCO2";"Indirect CO2";;;;
