"REMIND";"Variable";"factor";"remark"
"Cap|Electricity (GW)";"Capacity|Electricity (GW)";1;
"Cap|Electricity|Biomass (GW)";"Capacity|Electricity|Biomass (GW)";1;
"Cap|Electricity|Biomass|w/ CC (GW)";"Capacity|Electricity|Biomass|w/ CCS (GW)";1;
"Cap|Electricity|Biomass|w/o CC (GW)";"Capacity|Electricity|Biomass|w/o CCS (GW)";1;
"Cap|Electricity|Coal (GW)";"Capacity|Electricity|Coal (GW)";1;
"Cap|Electricity|Coal|w/ CC (GW)";"Capacity|Electricity|Coal|w/ CCS (GW)";1;
"Cap|Electricity|Coal|w/o CC (GW)";"Capacity|Electricity|Coal|w/o CCS (GW)";1;
"Cap|Electricity|Gas (GW)";"Capacity|Electricity|Gas (GW)";1;
"Cap|Electricity|Gas|CC|w/ CC (GW)";"Capacity|Electricity|Gas|CC|w/ CCS (GW)";1;
"Cap|Electricity|Gas|CC|w/o CC (GW)";"Capacity|Electricity|Gas|CC|w/o CCS (GW)";1;
"Cap|Electricity|Gas|w/ CC (GW)";"Capacity|Electricity|Gas|w/ CCS (GW)";1;
"Cap|Electricity|Gas|w/o CC (GW)";"Capacity|Electricity|Gas|w/o CCS (GW)";1;
"Cap|Electricity|Geothermal (GW)";"Capacity|Electricity|Geothermal (GW)";1;
"Cap|Electricity|Hydro (GW)";"Capacity|Electricity|Hydro (GW)";1;
"Cap|Electricity|Hydrogen (GW)";"Capacity|Electricity|Hydrogen (GW)";1;
"Cap|Electricity|Nuclear (GW)";"Capacity|Electricity|Nuclear (GW)";1;
"Cap|Electricity|Oil|w/o CC (GW)";"Capacity|Electricity|Oil (GW)";1;
"Cap|Electricity|Peak Demand|Estimated from FE x 1p4 x 1p1 (GW)";"Capacity|Electricity|Peak Demand (GW)";1;
"Cap|Electricity|Solar (GW)";"Capacity|Electricity|Solar (GW)";1;
"Cap|Electricity|Solar|CSP (GW)";"Capacity|Electricity|Solar|CSP (GW)";1;
"Cap|Electricity|Solar|PV (GW)";"Capacity|Electricity|Solar|PV (GW)";1;
"Cap|Electricity|Wind (GW)";"Capacity|Electricity|Wind (GW)";1;
"Cap|Electricity|Wind|Onshore (GW)";"Capacity|Electricity|Wind|Onshore (GW)";1;
"Emi|BC (Mt BC/yr)";"Emissions|BC (Mt BC/yr)";1;
"Emi|CH4 (Mt CH4/yr)";"Emissions|CH4 (Mt CH4/yr)";1;
"Emi|CO (Mt CO/yr)";"Emissions|CO (Mt CO/yr)";1;
"Emi|CO2 (Mt CO2/yr)";"Emissions|CO2 (Mt CO2/yr)";1;
"Emi|CO2|Energy|Demand|Buildings (Mt CO2/yr)";"Emissions|CO2|Energy|Demand|Residential and Commercial (Mt CO2/yr)";1;
"Emissions|CO2|Energy|Negative (Mt CO2/yr)";"Emissions|CO2|Energy|Negative (Mt CO2/yr)";1;
"Emissions|CO2|DACCS sequestered (Mt CO2/yr)";"Emissions|CO2|DACCS sequestered (Mt CO2/yr)";1;
"Emissions|CO2|Other (Mt CO2/yr)";"Emissions|CO2|Other (Mt CO2/yr)";1;
"Emi|CO2|Energy (Mt CO2/yr)";"Emissions|CO2|Energy (Mt CO2/yr)";1;
"Emi|CO2|Energy|Demand|Industry (Mt CO2/yr)";"Emissions|CO2|Energy|Demand|Industry (Mt CO2/yr)";1;
"Emissions|CO2|Energy|Supply|Gross|Electricity (Mt CO2/yr)";"Emissions|CO2|Energy|Supply (Gross)|Electricity (Mt CO2/yr)";1;
"Emissions|CO2|Energy|Supply|Gross|Gases (Mt CO2/yr)";"Emissions|CO2|Energy|Supply (Gross)|Gases (Mt CO2/yr)";1;
"Emissions|CO2|Energy|Supply|Gross (Mt CO2/yr)";"Emissions|CO2|Energy|Supply (Gross) (Mt CO2/yr)";1;
"Emissions|CO2|Energy|Supply|Gross|Heat (Mt CO2/yr)";"Emissions|CO2|Energy|Supply (Gross)|Heat (Mt CO2/yr)";1;
"Emissions|CO2|Energy|Supply|Gross|Hydrogen (Mt CO2/yr)";"Emissions|CO2|Energy|Supply (Gross)|Hydrogen (Mt CO2/yr)";1;
"Emissions|CO2|Energy|Supply|Gross|Liquids (Mt CO2/yr)";"Emissions|CO2|Energy|Supply (Gross)|Liquids (Mt CO2/yr)";1;
"Emissions|CO2|Energy|Supply|Gross|Solids (Mt CO2/yr)";"Emissions|CO2|Energy|Supply (Gross)|Solids (Mt CO2/yr)";1;
"Emi|CO2|ES (Mt CO2/yr)";"Emissions|CO2|ESD (Mt CO2/yr)";1;
"Emi|CO2|ETS (Mt CO2/yr)";"Emissions|CO2|ETS (Mt CO2/yr)";1;
"Emi|CO2|Industrial Processes (Mt CO2/yr)";"Emissions|CO2|Industrial Processes (Mt CO2/yr)";1;
"Emi|CO2|Energy|Demand (Mt CO2/yr)";"Emissions|CO2|Energy|Demand (Mt CO2/yr)";1;
"Emissions|CO2|AFOLU (Mt CO2/yr)";"Emissions|CO2|AFOLU (Mt CO2/yr)";1;
"Emi|CO2|other - Non ETS and ES (Mt CO2/yr)";"Emissions|CO2|Other regulation (Mt CO2/yr)";1;
"Emi|CO2|Energy|Demand|Transport (Mt CO2/yr)";"Emissions|CO2|Energy|Demand|Transportation (Mt CO2/yr)";1;
"Emi|F-Gases (Mt CO2-equiv/yr)";"Emissions|F-Gases (Mt CO2eq/yr)";1;
