Variable;REMIND;Conversion;Comment
Activity of stock-Total-International marine bunkers (Billion tonne-km);;;
Activity of stock-Total-Road freight trucks (Billion tonne-km);ES|Transport|Freight|Road (billion tkm/yr);1;
Activity of stock-Total-Road heavy-duty trucks (Billion tonne-km);ES|Transport|Freight|Road (billion tkm/yr);1;
Activity of stock-Total-Road passenger light duty vehicle (Billion passenger-km);ES|Transport|Pass|Road|LDV (billion tkm/yr);1;
Activity of stock-Total-Total aviation (domestic and bunkers) (Billion passenger-km);ES|Transport|Pass|Aviation (billion tkm/yr);;
Capacity: installed-Battery storage-Electrical capacity (GW);Cap|Electricity|Storage|Battery (GW);1;
Capacity: installed-Bioenergy: with CCUS-Electrical capacity (GW);Cap|Electricity|Biomass|w/ CC (GW);1;
Capacity: installed-Coal: unabated-Electrical capacity (GW);Cap|Electricity|Coal|w/o CC (GW);1;
Capacity: installed-Coal: with CCUS-Electrical capacity (GW);Cap|Electricity|Coal|w/ CC (GW);1;
Capacity: installed-Concentrating solar power-Electrical capacity (GW);Cap|Electricity|Solar|CSP (GW);1;
Capacity: installed-Fossil fuels: unabated-Electrical capacity (GW);Cap|Electricity|Fossil|w/o CC (GW);1;
Capacity: installed-Fossil fuels: with CCUS-Electrical capacity (GW);Cap|Electricity|Fossil|w/ CC (GW);1;
Capacity: installed-Geothermal-Electrical capacity (GW);Cap|Electricity|Geothermal (GW);1;
Capacity: installed-Hydro-Electrical capacity (GW);Cap|Electricity|Hydro (GW);1;
Capacity: installed-Hydrogen and H2-based fuels-Electrical capacity (GW);Cap|Electricity|Hydrogen (GW);1;
Capacity: installed-Marine-Electrical capacity (GW);;;
Capacity: installed-Modern bioenergy and renewable waste-Electrical capacity (GW);Cap|Electricity|Biomass (GW);1;
Capacity: installed-Natural gas: unabated-Electrical capacity (GW);Cap|Electricity|Gas|w/o CC (GW);1;
Capacity: installed-Natural gas: with CCUS-Electrical capacity (GW);Cap|Electricity|Gas|w/ CC (GW);1;
Capacity: installed-Nuclear-Electrical capacity (GW);Cap|Electricity|Nuclear (GW);1;
Capacity: installed-Oil-Electrical capacity (GW);Cap|Electricity|Oil (GW);1;
Capacity: installed-Renewables-Electrical capacity (GW);;;
Capacity: installed-Solar PV-Electrical capacity (GW);Cap|Electricity|Solar|PV (GW);1;
Capacity: installed-Total-Electrical capacity (GW);Cap|Electricity (GW);1;
Capacity: installed-Wind-Electrical capacity (GW);Cap|Electricity|Wind (GW);1;
CO2 combustion and process-Total-Chemicals (Mt CO2);Emi|CO2|Energy|Demand|Industry|Chemicals (Mt CO2/yr);1;
CO2 combustion and process-Total-Industry (Mt CO2);Emi|CO2|Industry (Mt CO2/yr);1;
CO2 combustion and process-Total-Iron and steel (Mt CO2);Emi|CO2|Energy|Demand|Industry|Steel (Mt CO2/yr);1;This includes both process and energy emissions from iron and steel. REMIND does not distinguish these emissions and all are included in Emi|CO2|Energy|Demand|Industry|Steel
CO2 combustion and process-Total-Non-ferrous metals: aluminium (Mt CO2);;;
CO2 combustion and process-Total-Non-metallic minerals: cement (Mt CO2);Emi|CO2|Energy|Demand|Industry|Cement (Mt CO2/yr);1;
CO2 combustion and process-Total-Other energy sector (Mt CO2);;;
CO2 combustion and process-Total-Total final consumption (Mt CO2);;;
CO2 combustion-Bioenergy and waste-Power sector inputs (Mt CO2);;;
CO2 combustion-Bioenergy and waste-Total energy supply (Mt CO2);;;
CO2 combustion-Bioenergy and waste-Total final consumption (Mt CO2);;;
CO2 combustion-Coal-Power sector inputs (Mt CO2);;;
CO2 combustion-Coal-Total energy supply (Mt CO2);;;
CO2 combustion-Coal-Total final consumption (Mt CO2);;;
CO2 combustion-Natural gas-Power sector inputs (Mt CO2);;;
CO2 combustion-Natural gas-Total energy supply (Mt CO2);;;
CO2 combustion-Natural gas-Total final consumption (Mt CO2);;;
CO2 combustion-Oil-Power sector inputs (Mt CO2);;;
CO2 combustion-Oil-Total energy supply (Mt CO2);;;
CO2 combustion-Oil-Total final consumption (Mt CO2);;;
CO2 combustion-Total-Buildings (Mt CO2);Emi|CO2|Energy|Demand|Buildings (Mt CO2/yr);1;
CO2 combustion-Total-Power sector inputs (Mt CO2);Emi|CO2|Energy|Supply|Electricity w/ couple prod (Mt CO2/yr);1;
CO2 combustion-Total-Residential (Mt CO2);;;
CO2 combustion-Total-Road (Mt CO2);Emi|CO2|Transport|Road|Demand (Mt CO2/yr);1;
CO2 combustion-Total-Road heavy-duty trucks (Mt CO2);;;
CO2 combustion-Total-Road passenger light duty vehicle (Mt CO2);Emi|CO2|Transport|Pass|Road|LDV|Demand (Mt CO2/yr);1;
CO2 combustion-Total-Services (Mt CO2);;;
CO2 combustion-Total-Total aviation (domestic and bunkers) (Mt CO2);;;
CO2 combustion-Total-Total energy supply (Mt CO2);Emi|CO2|w/o Bunkers|Energy (Mt CO2/yr);1;
CO2 combustion-Total-Total navigation (domestic and bunkers) (Mt CO2);;;
CO2 combustion-Total-Transport (Mt CO2);Emi|CO2|w/o Bunkers|Energy|Demand|Transport (Mt CO2/yr);1;
CO2 DAC stored-Total-Direct air capture: offsite (Mt CO2);Emi|CO2|CDR|DACCS (Mt CO2/yr);1;
CO2 process stored-Modern bioenergy: liquid-Biofuels production (Mt CO2);;;
