"REMIND_variable";"Comment";"JRC_variable";"JRC_Excel";"JRC_spreadsheet";"JRC_line ";"Weight";"Unit_REMIND";"Unit_JRC";"Factor";"JRC_complete"
"FE|Industry|Solids|other";"Chemicals (including feedstocks)";"Biomass";"JRC-IDEES-2015_Industry_";"CHI_fec";128;-1;"EJ/yr";"ktoe";4.1868E-05;"Chemicals Industry|Final Energy Consumption|Pharmaceutical products etc.|Chemicals: High enthalpy heat processing|High enthalpy heat processing - Steam|Biomass"
"FE|Industry|Solids|other";"Chemicals (including feedstocks)";"Solids";"JRC-IDEES-2015_Industry_";"CHI_fec";133;-1;"EJ/yr";"ktoe";4.1868E-05;"Chemicals Industry|Final Energy Consumption|Pharmaceutical products etc.|Chemicals: Furnaces|Chemicals: Furnaces - Thermal|Solids"
"FE|Industry|Solids|other";"Chemicals (including feedstocks)";"Solids";"JRC-IDEES-2015_Industry_";"CHI_fec";142;-1;"EJ/yr";"ktoe";4.1868E-05;"Chemicals Industry|Final Energy Consumption|Pharmaceutical products etc.|Chemicals: Process cooling|Chemicals: Process cooling - Steam|Solids"
"FE|Industry|Solids|other";"Chemicals (including feedstocks)";"Biomass";"JRC-IDEES-2015_Industry_";"CHI_fec";150;-1;"EJ/yr";"ktoe";4.1868E-05;"Chemicals Industry|Final Energy Consumption|Pharmaceutical products etc.|Chemicals: Process cooling|Chemicals: Process cooling - Steam|Biomass"
"FE|Industry|Solids|other";"Primary steel";"Solids";"JRC-IDEES-2015_Industry_";"ISI_fec";16;-1;"EJ/yr";"ktoe";4.1868E-05;"Iron and Steel|Final Energy Consumption|Integrated steelworks|Steel: Sinter/Pellet making|Solids"
"FE|Industry|Solids|other";"Primary steel";"Solids";"JRC-IDEES-2015_Industry_";"ISI_fec";22;-1;"EJ/yr";"ktoe";4.1868E-05;"Iron and Steel|Final Energy Consumption|Integrated steelworks|Steel: Blast /Basic oxygen furnace|Solids"
"FE|Industry|Solids|other";"Primary steel";"Coke";"JRC-IDEES-2015_Industry_";"ISI_fec";23;-1;"EJ/yr";"ktoe";4.1868E-05;"Iron and Steel|Final Energy Consumption|Integrated steelworks|Steel: Blast /Basic oxygen furnace|Coke"
"FE|Industry|Solids|other";"Primary steel";"Solids";"JRC-IDEES-2015_Industry_";"ISI_fec";40;-1;"EJ/yr";"ktoe";4.1868E-05;"Iron and Steel|Final Energy Consumption|Integrated steelworks|Steel: Products finishing|Steel: Products finishing - Steam|Solids"
"FE|Industry|Solids|other";"Primary steel";"Biomass";"JRC-IDEES-2015_Industry_";"ISI_fec";48;-1;"EJ/yr";"ktoe";4.1868E-05;"Iron and Steel|Final Energy Consumption|Integrated steelworks|Steel: Products finishing|Steel: Products finishing - Steam|Biomass"
"FE|Industry|Solids|other";"Secondary Steel ";"Solids";"JRC-IDEES-2015_Industry_";"ISI_fec";64;-1;"EJ/yr";"ktoe";4.1868E-05;"Iron and Steel|Final Energy Consumption|Electric arc|Steel: Smelters|Solids"
"FE|Industry|Solids|other";"Secondary Steel ";"Solids";"JRC-IDEES-2015_Industry_";"ISI_fec";83;-1;"EJ/yr";"ktoe";4.1868E-05;"Iron and Steel|Final Energy Consumption|Electric arc|Steel: Products finishing|Steel: Products finishing - Steam|Solids"
"FE|Industry|Solids|other";"Secondary Steel ";"Biomass";"JRC-IDEES-2015_Industry_";"ISI_fec";91;-1;"EJ/yr";"ktoe";4.1868E-05;"Iron and Steel|Final Energy Consumption|Electric arc|Steel: Products finishing|Steel: Products finishing - Steam|Biomass"
"FE|Industry|Solids|other";"Cement";"Solids";"JRC-IDEES-2015_Industry_";"NMM_fec";18;-1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Fuel use|Solids"
"FE|Industry|Solids|other";"Cement";"Biomass";"JRC-IDEES-2015_Industry_";"NMM_fec";24;-1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Fuel use|Biomass"
"FE|Industry|Solids|other";"Cement";"Solids";"JRC-IDEES-2015_Industry_";"NMM_fec";26;-1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Steam|Solids"
"FE|Industry|Solids|other";"Cement";"Biomass";"JRC-IDEES-2015_Industry_";"NMM_fec";34;-1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Steam|Biomass"
"FE|Industry|Solids|other";"Cement";"Solids";"JRC-IDEES-2015_Industry_";"NMM_fec";37;-1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Clinker production (kilns)|Solids"
"FE|Industry|Solids|other";"Cement";"Biomass";"JRC-IDEES-2015_Industry_";"NMM_fec";43;-1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Clinker production (kilns)|Biomass"
