EDGEitems;EDGE_buildings;iea_product;iea_flows;REMINDitems_in;REMINDitems_out;REMINDitems_tech;Weight;Comment;weight_convertEDGE;weight_Fedemand
;;ADDITIVE;AVBUNK;peoil;seliqfos;refliq;-1;;;
;;ADDITIVE;DISTLOSS;peoil;seliqfos;refliq;-1;;;
;;ADDITIVE;ELAUTOE;peoil;seel;dot;1;;;
;;ADDITIVE;ELMAINE;peoil;seel;dot;1;;;
;;ADDITIVE;MARBUNK;peoil;seliqfos;refliq;-1;;;
;;ADDITIVE;NEINTREN;seliqfos;feli_otherInd;tdli_otherInd;0;;;
;;ADDITIVE;NEOTHER;seliqfos;fehob;tdfoshob;0;;;
;;ADDITIVE;TFC;peoil;seliqfos;refliq;1;;;
;;ANTCOAL;DISTLOSS;pecoal;sesofos;coaltr;-1;;;
;;ANTCOAL;ELAUTOC;pecoal;seel;coalchp;1;;;
;;ANTCOAL;ELAUTOE;pecoal;seel;pc;1;;;
;;ANTCOAL;ELMAINC;pecoal;seel;coalchp;1;;;
;;ANTCOAL;ELMAINE;pecoal;seel;pc;1;;;
;;ANTCOAL;HEAUTOC;pecoal;sehe;coalchp;1;;;
;;ANTCOAL;HEAUTOH;pecoal;sehe;coalhp;1;;;
;;ANTCOAL;HEMAINC;pecoal;sehe;coalchp;1;;;
;;ANTCOAL;HEMAINH;pecoal;sehe;coalhp;1;;;
;;ANTCOAL;TBLASTFUR;pecoal;sesofos;coaltr;-1;;;
;;ANTCOAL;TFC;pecoal;sesofos;coaltr;1;;;
appliances_light_biomod_fe;;;;;fecwsob;;;;biomod;1
appliances_light_biomod_fe;;;;;fehcsob;;;;biomod;1
appliances_light_biomod_fe;;;;;fesob;;;;biomod;1
appliances_light_biomod_fe;;;;;fesos;;;;biomod;1
appliances_light_biomod_ue;;;;;uecwb;;;;biomod;1
appliances_light_biomod_ue;;;;;uehcb;;;;biomod;1
appliances_light_biotrad_fe;;;;;fecwsob;;;;biotrad;1
appliances_light_biotrad_fe;;;;;fehcsob;;;;biotrad;1
appliances_light_biotrad_fe;;;;;fesob;;;;biotrad;1
appliances_light_biotrad_fe;;;;;fesos;;;;biotrad;1
appliances_light_biotrad_ue;;;;;uecwb;;;;biotrad;1
appliances_light_biotrad_ue;;;;;uehcb;;;;biotrad;1
appliances_light_coal_fe;;;;;fecwsob;;;;coal;1
appliances_light_coal_fe;;;;;fehcsob;;;;coal;1
appliances_light_coal_fe;;;;;fesob;;;;coal;1
appliances_light_coal_fe;;;;;fesos;;;;coal;1
appliances_light_coal_ue;;;;;uecwb;;;;coal;1
appliances_light_coal_ue;;;;;uehcb;;;;coal;1
appliances_light_elec_fe;;;;;fealelb;;;;elec;1
appliances_light_elec_fe;;;;;feelb;;;;elec;1
appliances_light_elec_fe;;;;;feels;;;;elec;1
appliances_light_elec_ue;;;;;uealb;;;;elec;1
appliances_light_heat_fe;;;;;fecwheb;;;;heat;1
appliances_light_heat_fe;;;;;fehcheb;;;;heat;1
appliances_light_heat_fe;;;;;feheb;;;;heat;1
appliances_light_heat_fe;;;;;fehes;;;;heat;1
appliances_light_heat_ue;;;;;uecwb;;;;heat;1
appliances_light_heat_ue;;;;;uehcb;;;;heat;1
appliances_light_natgas_fe;;;;;fecwgab;;;;natgas;1
appliances_light_natgas_fe;;;;;fegab;;;;natgas;1
appliances_light_natgas_fe;;;;;fegas;;;;natgas;1
appliances_light_natgas_fe;;;;;fehcgab;;;;natgas;1
appliances_light_natgas_ue;;;;;uecwb;;;;natgas;1
appliances_light_natgas_ue;;;;;uehcb;;;;natgas;1
appliances_light_petrol_fe;;;;;fecwhob;;;;petrol;1
appliances_light_petrol_fe;;;;;fehchob;;;;petrol;1
appliances_light_petrol_fe;;;;;fehob;;;;petrol;1
appliances_light_petrol_ue;;;;;uecwb;;;;petrol;1
