gtap;magpie
pdr;rice_pro
wht;tece
gro;trce
gro;maiz
v_f;others
v_f;cassav_sp
v_f;potato
osd;groundnut
osd;sunflower
osd;rapeseed
osd;oilpalm
osd;soybean
osd;cottn_pro
c_b;sugr_beet
c_b;sugr_cane
pfb;fibres
ocr;foddr
ocr;puls_pro
ocr;res_cereals
ocr;res_fibrous
ocr;res_nonfibrous
ctl;livst_rum
oap;livst_chick
oap;livst_egg
rmk;livst_milk
wol;
frs;wood
frs;woodfuel
fsh;fish
coa;
oil;
gas;
omn;
cmt;
omt;livst_pig
vol;oilcakes
vol;oils
mil;
pcr;
sgr;molasses
sgr;sugar
ofd;
b_t;alcohol
b_t;distillers_grain
tex;
wap;
lea;
lum;
ppp;
p_c;
crp;
nmm;
i_s;
nfm;
fmp;
mvh;
otn;
ele;
ome;
omf;
ely;
gdt;
wtr;
cns;
trd;
otp;
wtp;
atp;
cmn;
ofi;
isr;
obs;
ros;
osg;
dwe;
xxx;begr
xxx;betr
xxx;brans
xxx;ethanol
xxx;pasture
xxx;scp
