CEDS62;INTERMEDIARY;GAINS2025;CEDS16;comment
1A2g_Ind-Comb-textile-leather;Industrial Combustion;End_Use_Industry_Coal;Industrial Combustion;
1A2g_Ind-Comb-textile-leather;Industrial Combustion;End_Use_Industry_HLF;Industrial Combustion;
1A2g_Ind-Comb-textile-leather;Industrial Combustion;End_Use_Industry_LLF;Industrial Combustion;
1A2g_Ind-Comb-textile-leather;Industrial Combustion;End_Use_Industry_NatGas;Industrial Combustion;
1A2g_Ind-Comb-transpequip;Industrial Combustion;End_Use_Industry_Bio_Trad;Industrial Combustion;"""transport equipment"", but seems to be inside industry. Double counting?"
1A2g_Ind-Comb-transpequip;Industrial Combustion;End_Use_Industry_Coal;Industrial Combustion;
1A2g_Ind-Comb-transpequip;Industrial Combustion;End_Use_Industry_HLF;Industrial Combustion;
1A2g_Ind-Comb-transpequip;Industrial Combustion;End_Use_Industry_LLF;Industrial Combustion;
1A2g_Ind-Comb-transpequip;Industrial Combustion;End_Use_Industry_NatGas;Industrial Combustion;
1A2g_Ind-Comb-wood-products;Industrial Combustion;End_Use_Industry_Bio_Trad;Industrial Combustion;
1A2g_Ind-Comb-wood-products;Industrial Combustion;End_Use_Industry_Coal;Industrial Combustion;
1A2g_Ind-Comb-wood-products;Industrial Combustion;End_Use_Industry_HLF;Industrial Combustion;
1A2g_Ind-Comb-wood-products;Industrial Combustion;End_Use_Industry_LLF;Industrial Combustion;
1A2g_Ind-Comb-wood-products;Industrial Combustion;End_Use_Industry_NatGas;Industrial Combustion;
1A5_Other-unspecified;Industrial Combustion;End_Use_Industry_Bio_Trad;Industrial Combustion;Basing this solely on the mapping that says this is part of industrial combustion
1A5_Other-unspecified;Industrial Combustion;End_Use_Industry_Coal;Industrial Combustion;
1A5_Other-unspecified;Industrial Combustion;End_Use_Industry_HLF;Industrial Combustion;
1A5_Other-unspecified;Industrial Combustion;End_Use_Industry_LLF;Industrial Combustion;
1A5_Other-unspecified;Industrial Combustion;End_Use_Industry_NatGas;Industrial Combustion;
2A1_Cement-production;Process Cement;CEMENT;Industrial Process and Product Use;Sectors 2 seems to be product use sectors 
2A2_Lime-production;Process Chemicals;CHEM;Industrial Process and Product Use;
2Ax_Other-minerals;Process Chemicals;CHEM;Industrial Process and Product Use;
2B_Chemical-industry;Process Chemicals;CHEM;Industrial Process and Product Use;
2B2_Chemicals-Nitric-acid;Process Nitric and Adipic Acid;NACID;Industrial Process and Product Use;
2B3_Chemicals-Adipic-acid;Process Nitric and Adipic Acid;NACID;Industrial Process and Product Use;Assuming NACID also includes adipic acid
2C1_Iron-steel-alloy-prod;Process Steel;STEEL;Industrial Process and Product Use;
2C3_Aluminum-production;Process Solvents and Other;CUSM;Industrial Process and Product Use;"FIXME: Find out what the hell is CUSM, treating it as a ""other process/use"" sector for now"
2C4_Non-Ferrous-other-metals;Process Solvents and Other;CUSM;Industrial Process and Product Use;"FIXME: Find out what the hell is CUSM, treating it as a ""other process/use"" sector for now"
2H_Pulp-and-paper-food-beverage-wood;Process Paper;PAPER;Industrial Process and Product Use;
2L_Other-process-emissions;Process Solvents and Other;CUSM;Industrial Process and Product Use;"FIXME: Find out what the hell is CUSM, treating it as a ""other process/use"" sector for now"
6A_Other-in-total;NOGAINS_NotRepresented;NOGAINS_NotRepresented;Industrial Process and Product Use;"FIXME: Find out what the hell is CUSM, treating it as a ""other process/use"" sector for now"
1A3di_International-shipping;NOGAINS_IntShipping;NOGAINS_IntShipping;International Shipping;Assume international shipping uses HLF and LLF but not Gas
1A3di_Oil_Tanker_Loading;NOGAINS_IntShipping;NOGAINS_IntShipping;International Shipping;
1A3c_Rail;Transport Domestic Ground;End_Use_Transport_HLF;Non-Road Transportation;
1A3c_Rail;Transport Domestic Ground;End_Use_Transport_LLF;Non-Road Transportation;
1A3c_Rail;Transport Domestic Ground;End_Use_Transport_NatGas;Non-Road Transportation;
1A3c_Rail;Transport Domestic Ground;End_Use_Transport_Coal;Non-Road Transportation;
1A3dii_Domestic-navigation;Transport Domestic Ground;End_Use_Transport_HLF;Non-Road Transportation;
1A3dii_Domestic-navigation;Transport Domestic Ground;End_Use_Transport_LLF;Non-Road Transportation;
1A3dii_Domestic-navigation;Transport Domestic Ground;End_Use_Transport_NatGas;Non-Road Transportation;
1A3dii_Domestic-navigation;Transport Domestic Ground;End_Use_Transport_Coal;Non-Road Transportation;
1A3eii_Other-transp;Transport Domestic Ground;End_Use_Transport_NatGas;Non-Road Transportation;Also assume no gas on boats
1A3eii_Other-transp;Transport Domestic Ground;End_Use_Transport_HLF;Non-Road Transportation;
1A3eii_Other-transp;Transport Domestic Ground;End_Use_Transport_LLF;Non-Road Transportation;"Maybe  some gas in ""other"""
1A3eii_Other-transp;Transport Domestic Ground;End_Use_Transport_Coal;Non-Road Transportation;
1B2_Fugitive-petr;Fossil Extraction and Distribution;Losses_Distribution_Use;Oil and Gas Fugitive/Flaring;Is there significant oil flaring?
