"REMINDitems_in";"REMINDitems_out";"REMINDitems_tech";"REMINDitems_in_ESM";"REMINDitems_out_ESM";"REMINDitems_tech_ESM"
"seliqfos";"feli_chemicals";"tdli_chemicals";"seliqfos";"fehoi";"tdfoshoi"
"sesofos";"feso_otherInd";"tdso_otherInd";"sesofos";"fesoi";"tdfossoi"
"sesofos";"feso_chemicals";"tdso_chemicals";"sesofos";"fesoi";"tdfossoi"
"sesofos";"feso_steel";"tdso_steel";"sesofos";"fesoi";"tdfossoi"
"sesofos";"feso_cement";"tdso_cement";"sesofos";"fesoi";"tdfossoi"
"seliqfos";"feli_otherInd";"tdli_otherInd";"seliqfos";"fehoi";"tdfoshoi"
"seliqfos";"feli_steel";"tdli_steel";"seliqfos";"fehoi";"tdfoshoi"
"seliqfos";"feli_cement";"tdli_cement";"seliqfos";"fehoi";"tdfoshoi"
"seliqbio";"feli_otherInd";"tdli_otherInd";"seliqbio";"fehoi";"tdbiohoi"
"seliqbio";"feli_chemicals";"tdli_chemicals";"seliqbio";"fehoi";"tdbiohoi"
"seliqbio";"feli_steel";"tdli_steel";"seliqbio";"fehoi";"tdbiohoi"
"seliqbio";"feli_cement";"tdli_cement";"seliqbio";"fehoi";"tdbiohoi"
"segabio";"fega_otherInd";"tdga_otherInd";"segabio";"fegai";"tdbiogai"
"segabio";"fega_chemicals";"tdga_chemicals";"segabio";"fegai";"tdbiogai"
"segabio";"fega_steel";"tdga_steel";"segabio";"fegai";"tdbiogai"
"segabio";"fega_cement";"tdga_cement";"segabio";"fegai";"tdbiogai"
"sesobio";"feso_otherInd";"tdso_otherInd";"sesobio";"fesoi";"tdbiosoi"
"sesobio";"feso_chemicals";"tdso_chemicals";"sesobio";"fesoi";"tdbiosoi"
"sesobio";"feso_steel";"tdso_steel";"sesobio";"fesoi";"tdbiosoi"
"sesobio";"feso_cement";"tdso_cement";"sesobio";"fesoi";"tdbiosoi"
"seel";"feelwlth_otherInd";"tdelwlth_otherInd";"seel";"feeli";"tdeli"
"seel";"feelwlth_chemicals";"tdelwlth_chemicals";"seel";"feeli";"tdeli"
"seel";"feel_steel";"tdel_steel";"seel";"feeli";"tdeli"
"seel";"feel_cement";"tdel_cement";"seel";"feeli";"tdeli"
"sehe";"fehe_otherInd";"tdhe_otherInd";"sehe";"fehei";"tdhei"
"segafos";"fega_otherInd";"tdga_otherInd";"segafos";"fegai";"tdfosgai"
"segafos";"fega_chemicals";"tdga_chemicals";"segafos";"fegai";"tdfosgai"
"segafos";"fega_steel";"tdga_steel";"segafos";"fegai";"tdfosgai"
"segafos";"fega_cement";"tdga_cement";"segafos";"fegai";"tdfosgai"
