magpie,fao
livst_chick,"1053|Chickens, broilers"
livst_chick,1068|Ducks
livst_chick,1079|Turkeys
livst_egg,"1052|Chickens, layers"
livst_milk,946|Buffaloes
livst_milk,1760|Camels and Llamas + (Total)
livst_milk,"960|Cattle, dairy"
livst_milk,1016|Goats
livst_milk,976|Sheep
livst_rum,1759|Mules and Asses + (Total)
livst_pig,"1051|Swine, breeding"
livst_rum,1096|Horses
livst_pig,"1049|Swine, market"
livst_rum,"961|Cattle, non-dairy"
