"eclipse";"agg";"remind"
"AACID";"indprocess";"indprocess"
"CEMENT";"indprocess";"indprocess"
"CHEM";"solvents";"solvents"
"CHEMBULK";"indprocess";"indprocess"
"CUSM";"indprocess";"indprocess"
"End_Use_Industry_Bio_Trad";"bioind";"pebiolc.sesobio.biotr.indst"
"End_Use_Industry_Coal";"coalind";"pecoal.sesofos.coaltr.indst"
"End_Use_Industry_HLF";"fehosind";"peoil.seliqfos.refliq.indst"
"End_Use_Industry_LLF";"fehosind";"peoil.seliqfos.refliq.indst"
"End_Use_Industry_NatGas";"gasind";"pegas.segafos.gastr.indst"
"End_Use_Others_Bio_Mod";"biotrmod";"pebiolc.sesobio.biotrmod.indst"
"End_Use_Others_Bio_Trad";"bioind";"pebiolc.sesobio.biotr.indst"
"End_Use_Others_Coal";"coalind";"pecoal.sesofos.coaltr.indst"
"End_Use_Others_HLF";"fehosind";"peoil.seliqfos.refliq.indst"
"End_Use_Others_LLF";"fehosind";"peoil.seliqfos.refliq.indst"
"End_Use_Others_NatGas";"gasind";"pegas.segafos.gastr.indst"
"End_Use_Residential_Bio_Mod";"biotrmod";"pebiolc.sesobio.biotrmod.res"
"End_Use_Residential_Bio_Trad";"biores";"pebiolc.sesobio.biotr.res"
"End_Use_Residential_Coal";"coalres";"pecoal.sesofos.coaltr.res"
"End_Use_Residential_HLF";"fehosres";"peoil.seliqfos.refliq.res"
"End_Use_Residential_LLF";"fehosres";"peoil.seliqfos.refliq.res"
"End_Use_Residential_NatGas";"gasres";"pegas.segafos.gastr.res"
"End_Use_Services_Bio_Mod";"biotrmod";"pebiolc.sesobio.biotrmod.indst"
"End_Use_Services_Bio_Trad";"bioind";"pebiolc.sesobio.biotr.indst"
"End_Use_Services_Coal";"coalind";"pecoal.sesofos.coaltr.indst"
"End_Use_Services_HLF";"fehosind";"peoil.seliqfos.refliq.indst"
"End_Use_Services_LLF";"fehosind";"peoil.seliqfos.refliq.indst"
"End_Use_Services_NatGas";"gasind";"pegas.segafos.gastr.indst"
"End_Use_Transport_Air_Domestic";"fedie";"peoil.seliqfos.refliq.trans"
"End_Use_Transport_Air_LTO";"fedie";"peoil.seliqfos.refliq.trans"
"End_Use_Transport_Coal";"coalind";"pecoal.sesofos.coaltr.indst"
"End_Use_Transport_HLF";"fedie";"peoil.seliqfos.refliq.trans"
"End_Use_Transport_LLF";"fepet";"peoil.seliqfos.refliq.trans"
"End_Use_Transport_NatGas";"gasind";"pegas.segafos.gastr.indst"
"Losses_Coal";"extraction";"extraction"
"Losses_Distribution_Use";"extraction";"extraction"
"Losses_Vent_Flare";"extraction";"extraction"
"NACID";"indprocess";"indprocess"
"PAPER";"indprocess";"indprocess"
"Power_Gen_Bio_Trad";"bio_el";"pebiolc.seel.biochp.power"
"Power_Gen_Bio_Trad";"bio_el";"pebiolc.sehe.biohp.power"
"Power_Gen_Bio_Trad";"bio_el_adv";"pebiolc.seel.bioigcc.power"
"Power_Gen_Bio_Trad";"bio_el_adv";"pebiolc.seel.bioigccc.power"
"Power_Gen_Bio_Trad";"bio_el_adv";"pebiolc.segabio.biogas.power"
"Power_Gen_Coal";"coal_el";"pecoal.seel.pc.power"
"Power_Gen_Coal";"coal_el";"pecoal.seel.coalchp.power"
"Power_Gen_Coal";"coal_el";"pecoal.sehe.coalhp.power"
"Power_Gen_Coal";"coal_el_adv";"pecoal.seel.igcc.power"
"Power_Gen_Coal";"coal_el_adv";"pecoal.seel.igccc.power"
"Power_Gen_Coal";"coal_el_adv";"pecoal.seel.pcc.power"
"Power_Gen_Coal";"coal_el_adv";"pecoal.seel.pco.power"
"Power_Gen_Coal";"coal_el_adv";"pecoal.segafos.coalgas.power"
"Power_Gen_HLF";"dot";"peoil.seel.dot.power"
"Power_Gen_LLF";"dot";"peoil.seel.dot.power"
"Power_Gen_NatGas";"gas_el";"pegas.seel.ngcc.power"
"Power_Gen_NatGas";"gas_el";"pegas.seel.ngt.power"
"Power_Gen_NatGas";"gas_el";"pegas.seel.gaschp.power"
"Power_Gen_NatGas";"gas_el";"pegas.sehe.gashp.power"
"STEEL";"indprocess";"indprocess"
"Transformations_Coal";"extraction";"extraction"
"Transformations_HLF";"extraction";"extraction"
"Transformations_HLF_Refinery";"extraction";"extraction"
"Transformations_LLF";"extraction";"extraction"
"Transformations_NatGas";"extraction";"extraction"
