CountryCode;Country;ISO3;manuallyadded
2;Afghanistan;AFG;FALSE
3;Albania;ALB;FALSE
4;Algeria;DZA;FALSE
6;Andorra;AND;FALSE
7;Angola;AGO;FALSE
8;Antigua and Barbuda;ATG;FALSE
9;Argentina;ARG;FALSE
1;Armenia;ARM;FALSE
10;Australia;AUS;FALSE
11;Austria;AUT;FALSE
52;Azerbaijan;AZE;FALSE
12;Bahamas;BHS;FALSE
13;Bahrain;BHR;FALSE
16;Bangladesh;BGD;FALSE
14;Barbados;BRB;FALSE
57;Belarus;BLR;FALSE
255;Belgium;BEL;FALSE
23;Belize;BLZ;FALSE
53;Benin;BEN;FALSE
18;Bhutan;BTN;FALSE
19;Bolivia (Plurinational State of);BOL;FALSE
80;Bosnia and Herzegovina;BIH;FALSE
20;Botswana;BWA;FALSE
21;Brazil;BRA;FALSE
26;Brunei Darussalam;BRN;FALSE
27;Bulgaria;BGR;FALSE
233;Burkina Faso;BFA;FALSE
29;Burundi;BDI;FALSE
35;Cabo Verde;CPV;FALSE
115;Cambodia;KHM;FALSE
32;Cameroon;CMR;FALSE
33;Canada;CAN;FALSE
37;Central African Republic;CAF;FALSE
39;Chad;TCD;FALSE
40;Chile;CHL;FALSE
351;China;CHN;FALSE
44;Colombia;COL;FALSE
45;Comoros;COM;FALSE
46;Congo;COG;FALSE
47;Cook Islands;COK;FALSE
48;Costa Rica;CRI;FALSE
107;Cote d'Ivoire;CIV;FALSE
98;Croatia;HRV;FALSE
49;Cuba;CUB;FALSE
50;Cyprus;CYP;FALSE
167;Czech Republic;CZE;FALSE
116;Democratic People's Republic of Korea;PRK;FALSE
250;Democratic Republic of the Congo;COD;FALSE
54;Denmark;DNK;FALSE
72;Djibouti;DJI;FALSE
55;Dominica;DMA;FALSE
56;Dominican Republic;DOM;FALSE
58;Ecuador;ECU;FALSE
59;Egypt;EGY;FALSE
60;El Salvador;SLV;FALSE
61;Equatorial Guinea;GNQ;FALSE
178;Eritrea;ERI;FALSE
63;Estonia;EST;FALSE
238;Ethiopia;ETH;FALSE
66;Fiji;FJI;FALSE
67;Finland;FIN;FALSE
68;France;FRA;FALSE
74;Gabon;GAB;FALSE
75;Gambia;GMB;FALSE
73;Georgia;GEO;FALSE
79;Germany;DEU;FALSE
81;Ghana;GHA;FALSE
84;Greece;GRC;FALSE
86;Grenada;GRD;FALSE
89;Guatemala;GTM;FALSE
90;Guinea;GIN;FALSE
175;Guinea-Bissau;GNB;FALSE
91;Guyana;GUY;FALSE
93;Haiti;HTI;FALSE
95;Honduras;HND;FALSE
97;Hungary;HUN;FALSE
99;Iceland;ISL;FALSE
100;India;IND;FALSE
101;Indonesia;IDN;FALSE
102;Iran (Islamic Republic of);IRN;FALSE
103;Iraq;IRQ;FALSE
104;Ireland;IRL;FALSE
105;Israel;ISR;FALSE
106;Italy;ITA;FALSE
109;Jamaica;JAM;FALSE
110;Japan;JPN;FALSE
112;Jordan;JOR;FALSE
108;Kazakhstan;KAZ;FALSE
114;Kenya;KEN;FALSE
83;Kiribati;KIR;FALSE
118;Kuwait;KWT;FALSE
113;Kyrgyzstan;KGZ;FALSE
120;Lao People's Democratic Republic;LAO;FALSE
119;Latvia;LVA;FALSE
121;Lebanon;LBN;FALSE
122;Lesotho;LSO;FALSE
123;Liberia;LBR;FALSE
124;Libya;LBY;FALSE
126;Lithuania;LTU;FALSE
256;Luxembourg;LUX;FALSE
129;Madagascar;MDG;FALSE
130;Malawi;MWI;FALSE
131;Malaysia;MYS;FALSE
132;Maldives;MDV;FALSE
133;Mali;MLI;FALSE
134;Malta;MLT;FALSE
127;Marshall Islands;MHL;FALSE
136;Mauritania;MRT;FALSE
137;Mauritius;MUS;FALSE
138;Mexico;MEX;FALSE
145;Micronesia (Federated States of);FSM;FALSE
140;Monaco;MCO;FALSE
