CountryName;CountryCode;RegionCode;RegionName;;;;
Ethiopia;ETH;8 Western Africa;Eastern Africa;;Ethiopia;ETH;AFR
Finland                                         ;FIN;11 Western Europe;Western Europe;;Finland;FIN;EUR
Fiji                                            ;FJI;24 Oceania;Oceania;;Fiji;FJI;OAS
Falklands Islands (Malvinas);FLK;6 Rest South America;Rest South America;;Falkland Islands (Malvinas);FLK;LAM
France;FRA;11 Western Europe;Western Europe;;France;FRA;EUR
Faroe Islands;FRO;11 Western Europe;Western Europe;;Faroe Islands;FRO;EUR
Micronesia, Federated States of;FSM;24 Oceania;Oceania;;Micronesia Federated States of;FSM;OAS
Gabon;GAB;8 Western Africa;Western Africa;;Gabon;GAB;AFR
United Kingdom;GBR;11 Western Europe;Western Europe;;United Kingdom;GBR;EUR
Georgia                                 ;GEO;16 Russia +;Russia +;;Georgia;GEO;MEA
Guernsey;GGY;11 Western Europe;Western Europe;Added manually by JH;Guernsey;GGY;ROW
Ghana                                           ;GHA;8 Western Africa;Western Africa;;Ghana;GHA;AFR
Gibraltar                               ;GIB;11 Western Europe;Western Europe;;Gibraltar;GIB;EUR
Guinea                                          ;GIN;8 Western Africa;Western Africa;;Guinea;GIN;AFR
Guadeloupe                              ;GLP;4 Rest Central America;Rest Central America;;Guadeloupe;GLP;LAM
Gambia                                      ;GMB;8 Western Africa;Western Africa;;Gambia;GMB;AFR
Guinea-Bissau                                   ;GNB;8 Western Africa;Western Africa;;Guinea-Bissau;GNB;AFR
Equatorial Guinea                               ;GNQ;8 Western Africa;Western Africa;;Equatorial Guinea;GNQ;AFR
Greece;GRC;11 Western Europe;Western Europe;;Greece;GRC;EUR
Grenada                                 ;GRD;4 Rest Central America;Rest Central America;;Grenada;GRD;LAM
Greenland;GRL;11 Western Europe;Western Europe;Added manually by JH;Greenland;GRL;EUR
Guatemala                                       ;GTM;4 Rest Central America;Rest Central America;;Guatemala;GTM;LAM
French Guiana                           ;GUF;4 Rest Central America;Rest South America;;French Guiana;GUF;LAM
Guam                                    ;GUM;24 Oceania;Oceania;;Guam;GUM;OAS
Guyana                                          ;GUY;4 Rest Central America;Rest South America;;Guyana;GUY;LAM
Hong Kong                               ;HKG;20 China +;China +;;Hong Kong;HKG;CHN
Heard Island and McDonald Islands         ;HMD;24 Oceania;Oceania;;Heard Island and McDonald Islands;HMD;ROW
Honduras                                        ;HND;4 Rest Central America;Rest Central America;;Honduras;HND;LAM
Croatia                                         ;HRV;12 Central Europe;Central Europe;;Croatia;HRV;ROW
Haiti                                           ;HTI;4 Rest Central America;Rest Central America;;Haiti;HTI;LAM
Hungary                                         ;HUN;12 Central Europe;Central Europe;;Hungary;HUN;EUR
Indonesia                                       ;IDN;22 Indonesia +;Indonesia +;;Indonesia;IDN;OAS
Isle of Man;IMN;11 Western Europe;Western Europe;Added manually by JH;Isle of Man;IMN;EUR
India                                           ;IND;18 India ;India ;;India;IND;IND
British Indian Ocean Territory;IOT;25 Rest South Asia;Rest South Asia;;British Indian Ocean Territory;IOT;OAS
Ireland                                 ;IRL;11 Western Europe;Western Europe;;Ireland;IRL;EUR
Iran, Islamic Republic of;IRN;17 Middle East;Middle East;;Iran Islamic Republic of;IRN;MEA
Iraq                                            ;IRQ;17 Middle East;Middle East;;Iraq;IRQ;MEA
Iceland                                         ;ISL;11 Western Europe;Western Europe;;Iceland;ISL;ROW
Israel                                             ;ISR;17 Middle East;Middle East;;Israel;ISR;MEA
Italy;ITA;11 Western Europe;Western Europe;;Italy;ITA;EUR
Jamaica                                 ;JAM;4 Rest Central America;Rest Central America;;Jamaica;JAM;LAM
Jersey;JEY;11 Western Europe;Western Europe;Added manually by JH;Jersey;JEY;EUR
Jordan                                 ;JOR;17 Middle East;Middle East;;Jordan;JOR;MEA
Japan                                   ;JPN;23 Japan;Japan;;Japan;JPN;JPN
Kazakstan                                      ;KAZ;15 Asia-Stan;Asia-Stan;;Kazakhstan;KAZ;MEA
Kenya                                           ;KEN;8 Western Africa;Eastern Africa;;Kenya;KEN;AFR
Kyrgyzstan;KGZ;15 Asia-Stan;Asia-Stan;;Kyrgyzstan;KGZ;MEA
Cambodia                                         ;KHM;21 Southeastern Asia;Southeastern Asia;;Cambodia;KHM;OAS
Kiribati                                ;KIR;24 Oceania;Oceania;;Kiribati;KIR;OAS
Saint Kitts and Nevis ;KNA;4 Rest Central America;Rest Central America;;Saint Kitts and Nevis;KNA;LAM
Korea, Republic of;KOR;19 Korea;Korea;;Korea Republic of;KOR;OAS
Kuwait                                             ;KWT;17 Middle East;Middle East;;Kuwait;KWT;MEA
Lao People's Democratic Republic;LAO;21 Southeastern Asia;Southeastern Asia;;Lao People's Democratic Republic;LAO;OAS
Lebanon;LBN;17 Middle East;Middle East;;Lebanon;LBN;MEA
Liberia                                         ;LBR;8 Western Africa;Western Africa;;Liberia;LBR;AFR
Libyan Arab Jamahiriya;LBY;7 Northern Africa;Northern Africa;;Libya;LBY;MEA
Saint Lucia                             ;LCA;4 Rest Central America;Rest Central America;;Saint Lucia;LCA;LAM
Liechtenstein                               ;LIE;11 Western Europe;Western Europe;;Liechtenstein;LIE;ROW
Sri Lanka                  ;LKA;25 Rest South Asia;Rest South Asia;;Sri Lanka;LKA;OAS
Lesotho                                          ;LSO;8 Western Africa;Rest Southern Africa;;Lesotho;LSO;AFR
Lithuania                                       ;LTU;12 Central Europe;Central Europe;;Lithuania;LTU;EUR
Luxembourg                                   ;LUX;11 Western Europe;Western Europe;;Luxembourg;LUX;EUR
Latvia                                          ;LVA;12 Central Europe;Central Europe;;Latvia;LVA;EUR
Macau                                   ;MAC;20 China +;China +;;Macao;MAC;CHN
Saint Martin (French part);MAF;4 Rest Central America;Rest Central America;Added manually by JH;Saint Martin (French part);MAF;ROW
Morocco                                          ;MAR;7 Northern Africa;Northern Africa;;Morocco;MAR;MEA
Monaco                                      ;MCO;11 Western Europe;Western Europe;;Monaco;MCO;ROW
Moldova, Republic of;MDA;14 Ukraine +;Ukraine +;;Moldova Republic of;MDA;ROW
Madagascar                                      ;MDG;8 Western Africa;Eastern Africa;;Madagascar;MDG;AFR
Maldives                                        ;MDV;25 Rest South Asia;Rest South Asia;;Maldives;MDV;OAS
Mexico;MEX;3 Mexico;Mexico;;Mexico;MEX;LAM
Marshall Islands                            ;MHL;24 Oceania;Oceania;;Marshall Islands;MHL;OAS
Macedonia, the former Yugoslav Republic of;MKD;12 Central Europe;Central Europe;;Macedonia the former Yugoslav Republic of;MKD;ROW
Mali                                            ;MLI;8 Western Africa;Western Africa;;Mali;MLI;AFR
Malta                                           ;MLT;12 Central Europe;Central Europe;;Malta;MLT;EUR
Myanmar                                            ;MMR;21 Southeastern Asia;Southeastern Asia;;Myanmar;MMR;OAS
Yugoslavia                              ;MNE;12 Central Europe;Central Europe;;Montenegro;MNE;ROW
Mongolia                                ;MNG;20 China +;China +;;Mongolia;MNG;OAS
Northern Mariana Islands                ;MNP;24 Oceania;Oceania;;Northern Mariana Islands;MNP;OAS
Mozambique                                      ;MOZ;8 Western Africa;Rest Southern Africa;;Mozambique;MOZ;AFR
Mauritania                              ;MRT;8 Western Africa;Western Africa;;Mauritania;MRT;AFR
Montserrat                              ;MSR;4 Rest Central America;Rest Central America;;Montserrat;MSR;LAM
Martinique                              ;MTQ;4 Rest Central America;Rest Central America;;Martinique;MTQ;LAM
Mauritius                                       ;MUS;8 Western Africa;Eastern Africa;;Mauritius;MUS;AFR
Malawi                                          ;MWI;8 Western Africa;Rest Southern Africa;;Malawi;MWI;AFR
Malaysia                                ;MYS;21 Southeastern Asia;Southeastern Asia;;Malaysia;MYS;OAS
Mayotte                                 ;MYT;8 Western Africa;Eastern Africa;;Mayotte;MYT;AFR
Namibia                                         ;NAM;8 Western Africa;Rest Southern Africa;;Namibia;NAM;AFR
New Caledonia                           ;NCL;24 Oceania;Oceania;;New Caledonia;NCL;OAS
Niger                                       ;NER;8 Western Africa;Western Africa;;Niger;NER;AFR
Norfolk Island                          ;NFK;24 Oceania;Oceania;;Norfolk Island;NFK;OAS
Nigeria                                 ;NGA;8 Western Africa;Western Africa;;Nigeria;NGA;AFR
Nicaragua                                       ;NIC;4 Rest Central America;Rest Central America;;Nicaragua;NIC;LAM
Niue                                    ;NIU;24 Oceania;Oceania;;Niue;NIU;OAS
Netherlands                                  ;NLD;11 Western Europe;Western Europe;;Netherlands;NLD;EUR
Norway                                           ;NOR;11 Western Europe;Western Europe;;Norway;NOR;ROW
Nepal                                            ;NPL;25 Rest South Asia;Rest South Asia;;Nepal;NPL;OAS
Nauru                                           ;NRU;24 Oceania;Oceania;;Nauru;NRU;ROW
New Zealand                             ;NZL;24 Oceania;Oceania;;New Zealand;NZL;ROW
Oman                                           ;OMN;17 Middle East;Middle East;;Oman;OMN;MEA
Pakistan                                ;PAK;25 Rest South Asia;Rest South Asia;;Pakistan;PAK;OAS
Panama                                          ;PAN;4 Rest Central America;Rest Central America;;Panama;PAN;LAM
Pitcairn                                ;PCN;24 Oceania;Oceania;;Pitcairn;PCN;OAS
Peru                                            ;PER;6 Rest South America;Rest South America;;Peru;PER;LAM
Philippines                                 ;PHL;21 Southeastern Asia;Southeastern Asia;;Philippines;PHL;OAS
Palau                                           ;PLW;24 Oceania;Oceania;;Palau;PLW;OAS
Papua New Guinea                                            ;PNG;22 Indonesia +;Indonesia +;;Papua New Guinea;PNG;OAS
Poland                                          ;POL;12 Central Europe;Central Europe;;Poland;POL;EUR
Puerto Rico                                                 ;PRI;4 Rest Central America;Rest Central America;;Puerto Rico;PRI;LAM
Korea, Democratic People's Republic of;PRK;19 Korea;Korea;;Korea Democratic People's Republic of;PRK;OAS
Portugal;PRT;11 Western Europe;Western Europe;;Portugal;PRT;EUR
Paraguay                                        ;PRY;6 Rest South America;Rest South America;;Paraguay;PRY;LAM
Palestine, State of;PSE;17 Middle East;Middle East;Added manually by JH;Palestine State of;PSE;MEA
