"CountryName";"CountryCode";"RegionCode";"RegionAbbreviation";"gainscode"
"Aruba";"ABW";"Central America";"RCAM";"CEAM_REST"
"Afghanistan";"AFG";"Rest of South Asia";"RSAS";"SOUA_REST"
"Angola";"AGO";"Rest of South Africa";"RSAF";"SAFR_WHOL"
"Anguilla";"AIA";"Central America";"RCAM";"CEAM_REST"
"Albania";"ALB";"Central Europe";"CEU";"CENT_EURO"
"Andorra";"AND";"West Europe";"WEU";"WEST_EURO"
"United Arab Emirates";"ARE";"Middle East";"ME";"MIDD_EAST"
"Argentina";"ARG";"Rest of South-America";"RSAM";"LAME_REST"
"Armenia";"ARM";"Russia";"RUS";"RUSS_PLUS"
"American Samoa";"ASM";"Oceania";"OCE";"OCEA_WHOL"
"Australia";"AUS";"Oceania";"OCE";"OCEA_WHOL"
"Austria";"AUT";"West Europe";"WEU";"WEST_EURO"
"Azerbaijan";"AZE";"Russia";"RUS";"RUSS_PLUS"
"Burundi";"BDI";"East Africa";"EAF";"AFRI_EAST"
"Belgium";"BEL";"West Europe";"WEU";"WEST_EURO"
"Benin";"BEN";"West Africa";"WAF";"AFRI_WEST"
"Burkina Faso";"BFA";"West Africa";"WAF";"AFRI_WEST"
"Bangladesh";"BGD";"Rest of South Asia";"RSAS";"SOUA_REST"
"Bulgaria";"BGR";"Central Europe";"CEU";"CENT_EURO"
"Bahrain";"BHR";"Middle East";"ME";"MIDD_EAST"
"Bahamas";"BHS";"Central America";"RCAM";"CEAM_REST"
"Bosnia and Herzegovina";"BIH";"Central Europe";"CEU";"CENT_EURO"
"Belarus";"BLR";"Ukraine region";"UKR";"UKRA_PLUS"
"Belize";"BLZ";"Central America";"RCAM";"CEAM_REST"
"Bermuda";"BMU";"Central America";"RCAM";"CEAM_REST"
"Bolivia, Plurinational State of";"BOL";"Rest of South-America";"RSAM";"LAME_REST"
"Brazil";"BRA";"Brazil";"BRA";"BRAZ_WHOL"
"Barbados";"BRB";"Central America";"RCAM";"CEAM_REST"
"Brunei Darussalam";"BRN";"South East Asia";"SEAS";"SOEA_ASIA"
"Bhutan";"BTN";"Rest of South Asia";"RSAS";"SOUA_REST"
"Botswana";"BWA";"Rest of South Africa";"RSAF";"SAFR_WHOL"
"Central African Republic";"CAF";"West Africa";"WAF";"AFRI_WEST"
"Canada";"CAN";"Canada";"CAN";"CANA_WHOL"
"Switzerland";"CHE";"West Europe";"WEU";"WEST_EURO"
"Chile";"CHL";"Rest of South-America";"RSAM";"LAME_REST"
"China";"CHN";"China+";"CHN";"CHIN_PLUS"
"Cote d Ivoire";"CIV";"West Africa";"WAF";"AFRI_WEST"
"Cameroon";"CMR";"West Africa";"WAF";"AFRI_WEST"
"Congo, the Democratic Republic of the";"COD";"West Africa";"WAF";"AFRI_WEST"
"Congo";"COG";"West Africa";"WAF";"AFRI_WEST"
"Cook Islands";"COK";"Oceania";"OCE";"OCEA_WHOL"
"Colombia";"COL";"Rest of South-America";"RSAM";"LAME_REST"
